NOC,region,notes
AHO,Curacao,Netherlands Antilles
ANT,Antigua,Antigua And Barbuda
ANZ,Australia,Australasia
BOH,Czech Republic,Bohemia
CRT,Greece,Crete
HKG,China,Hong Kong
IOA,Individual Olympic Athletes,Individual Olympic Athletes
ISV,"Virgin Islands, Us",Virgin Islands
NBO,Malaysia,North Borneo
NFL,Canada,Newfoundland
ROT,Unknown,Refugee Olympic Team
SCG,Serbia,Serbia And Montenegro
SKN,Saint Kitts,Turks And Caicos Islands
TTO,Trinidad,Trinidad And Tobago
TUV,Unknown,Tuvalu
UAR,Syria,United Arab Republic
UNK,Unknown,Unknown
WIF,Trinidad,West Indies Federation
YAR,Yemen,North Yemen
YMD,Yemen,South Yemen
YUG,Serbia,Yugoslavia
